company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
cost,2021,18705,0.093009461,0.200269507,0.057690993,0.253426812,0.052920808,0.0136,0.0036,-0.034046,421,0.277579674
cost,2020,15584,0.118689564,0.189345951,0.036444563,0.25861121,2,0.0229,0.0216,0.022889,329,0.253426812
cost,2019,13103,0.087085276,0.182687968,-3,0.245613163,0.946703689,0.0191,0.0179,0.029189,263,0.25861121
cost,2018,11079,0.059214206,-0.101605579,-2,0.086038303,-0.795795167,0.0211,0.01,0.022557,209,0.245613163
cost,2017,12332,0.043867534,0.137323619,-2,0.044196918,1,0.0207,0.0039,0.016675,168,0.086038303
cost,2016,10843,0.049973061,-0.13359968,-2,0.216434239,-0.592168733,0.0073,0.0013,0.027064,154,0.044196918
cost,2015,12515,0.078034003,0.136487468,-2,0.087111657,0.254442272,0.0076,0.0009,0.022878,148,0.216434239
cost,2014,11012,0.062679057,-0.120306758,27,0.213597298,-0.430425794,0.015,0.0011,0.018419,121,0.087111657
cost,2013,12518,0.0709917,-0.004374453,-1,0.17027272,0.502442913,0.0174,0.0014,0.022807,112,0.213597298
cost,2012,12573,0.058027367,0.15032022,,0.298947386,-4,0.0296,0.001,0.015499,92,0.17027272
cost,2011,10930,0.07266447,0.081749802,,0.198974206,-1,0.015,0.0018,0.027089,79,0.298947386
cost,2010,10104,0.121017903,,,-0.058292019,-3,0.0272,0.0016,-0.025999,61,0.198974206
cost,2009,41275,0.082626199,,,0.245489602,-2,0.0009,0.0192,0.001222,51,-0.058292019
csco,2021,39920,0.085881708,0.189121563,-2,-0.14904819,-0.541384289,0.0136,0.0036,-0.034046,54,0.245489602
csco,2020,33571,0.086108657,-0.222965466,-0.356984824,0.143605475,0.890721254,0.0229,0.0216,0.022889,43,-0.14904819
csco,2019,43204,0.05112727,-0.346749928,-10,0.313128119,3,0.0191,0.0179,0.029189,51,0.143605475
csco,2018,66137,0.075975349,0.040135252,-0.382064081,0.165613053,-0.745214948,0.0211,0.01,0.022557,44,0.313128119
csco,2017,63585,0.077682663,0.064950508,0.2081946,0.038696771,1,0.0207,0.0039,0.016675,34,0.165613053
csco,2016,59707,0.040876426,0.053758317,-2,0.151880068,-0.695758087,0.0073,0.0013,0.027064,29,0.038696771
csco,2015,56661,0.070042788,-0.041723042,-1,0.06487701,2,0.0076,0.0009,0.022878,28,0.151880068
csco,2014,59128,0.075882272,0.152570125,0.78384749,0.213241528,-1,0.015,0.0011,0.018419,24,0.06487701
csco,2013,51301,0.082653477,0.085528682,0.273583624,0.077035192,-3,0.0174,0.0014,0.022807,23,0.213241528
csco,2012,47259,0.102910415,0.067155922,,-0.24308159,-1,0.0296,0.001,0.015499,19,0.077035192
csco,2011,44285,0.097602983,0.144995734,,0.147307862,16,0.015,0.0018,0.027089,17,-0.24308159
csco,2010,38677,0.156528793,,,-0.855260164,-1,0.0272,0.0016,-0.025999,23,0.147307862
